trace_id,seed,pattern_label,baseline_integrated_lufs,constrained_integrated_lufs,delta_integrated_lufs,baseline_lra_lu,constrained_lra_lu,delta_lra_lu,baseline_onset_density_eps,constrained_onset_density_eps,delta_onset_density_eps,tempo_clamped,gain_clamped,accent_clamped,tempo_delta,gain_delta,accent_delta
batch_exploratory_0025,0,exploratory,-13.653734656945492,-13.660015540609752,0.0,3.485752805094899,3.4925524554904346,0.0,1.3166666666666667,1.3166666666666667,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0026,0,exploratory,-17.804111297622658,-17.819976415971386,0.0,1.9898121772062396,2.0485931381477087,0.0,1.15,1.15,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0027,0,exploratory,-11.485074497716809,-11.431492267902923,0.0,3.8577585862170505,3.8577585940198595,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0028,0,exploratory,-17.87430601792226,-17.879118344030793,0.0,2.7897446060261153,2.801723986124415,0.0,1.1,1.1,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0029,0,exploratory,-12.455280274200064,-12.453422350475499,0.0,4.197722013088491,4.206632959852259,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0030,0,exploratory,-18.81079886788858,-18.800158343129045,0.0,2.258797526753341,2.1567728737801772,0.0,1.0333333333333334,1.0333333333333334,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0031,0,exploratory,-13.57873351609544,-13.577015673025906,0.0,3.1086637573978138,3.110162487105937,0.0,1.3333333333333333,1.3333333333333333,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0032,0,exploratory,-12.415387727318139,-12.427866113498302,0.0,3.9733435463387163,3.986455864066375,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0033,0,exploratory,-17.94468918638273,-17.92046542862808,0.0,2.5255001412427696,2.5182179219026395,0.0,1.1,1.1,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0034,0,exploratory,-11.541902209431017,-11.598083170889018,0.0,3.4430113626072956,3.443011361415298,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0035,0,exploratory,-13.509521528762194,-13.492728053939965,0.0,4.039286055477817,4.103982295561808,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0036,0,exploratory,-14.142813740049775,-14.161237728270752,0.0,3.088520914654165,3.092411395101408,0.0,1.2166666666666666,1.2166666666666666,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0037,0,exploratory,-12.244241655974202,-12.23750122273761,0.0,3.8108772923910355,3.7957724839624447,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0038,0,exploratory,-11.617900599278506,-11.605292719454457,0.0,4.1669772438686525,4.103982290762726,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0039,0,exploratory,-13.872481891573646,-13.861231621278764,0.0,3.4604436672662917,3.4457119952791952,0.0,1.3166666666666667,1.3166666666666667,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0040,0,exploratory,-11.598364195452037,-11.592181308202056,0.0,4.138238420433108,4.138720034976426,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0041,0,exploratory,-13.461843703811676,-13.454634343250957,0.0,3.3677766206004414,3.3619724941977935,0.0,1.4166666666666667,1.4166666666666667,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0042,0,exploratory,-12.080483024508066,-12.073872353182075,0.0,3.817639484716649,3.827445612730644,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0043,0,exploratory,-13.171897649466684,-13.173386371110949,0.0,4.073913319911924,4.103982291822735,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0044,0,exploratory,-13.052329056961401,-13.071240676229147,0.0,3.519662932151496,3.5261170780662283,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0045,0,exploratory,-13.84030446316174,-13.832665217819882,0.0,2.89128093322873,2.8892307130806056,0.0,1.3,1.3,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0046,0,exploratory,-11.478986682011254,-11.52112665230061,0.0,4.091180585907839,4.091626471658316,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0047,0,exploratory,-14.007208981240124,-14.009043863813137,0.0,3.2540812963550145,3.175848948880585,0.0,1.2833333333333334,1.2833333333333334,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0048,0,exploratory,-11.78295490683062,-11.779363478945932,0.0,3.9322254627362145,3.950149130506187,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0049,0,exploratory,-18.05584874884632,-18.05290030621647,0.0,2.1199650350266133,2.1742017210273694,0.0,1.1,1.1,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0050,0,exploratory,-13.67961332065971,-13.689915758752132,0.0,3.045959148817449,2.9397041313089645,0.0,1.3166666666666667,1.3166666666666667,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0051,0,exploratory,-13.43876153446229,-13.440075761205827,0.0,3.2483078108519656,3.305199220165422,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0052,0,exploratory,-17.752724573192005,-17.762837577514873,0.0,2.248547262998759,2.206836247487054,0.0,1.1,1.1,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0053,0,exploratory,-13.776123920204041,-13.759227815648101,0.0,3.3469493993298496,3.3204147943133133,0.0,1.3,1.3,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0054,0,exploratory,-13.167298584150673,-13.17987841669945,0.0,3.847740900359952,3.8577585907000707,0.0,1.45,1.45,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0055,0,exploratory,-13.582953773416225,-13.600121951834168,0.0,3.6582629242867135,3.6379770718572058,0.0,1.4166666666666667,1.4166666666666667,0.0,0,0,0,0,0.0,0.0
batch_exploratory_0056,0,exploratory,-17.87322652438895,-17.86598726723091,0.0,2.666139286792088,2.5730475952694043,0.0,1.0833333333333333,1.0833333333333333,0.0,0,0,0,0,0.0,0.0
