trace_id,seed,condition,pattern_label,config_hash,tempo_req,tempo_eff,tempo_req_oob,tempo_eff_oob,tempo_clamped,tempo_delta,gain_req,gain_eff,gain_req_oob,gain_eff_oob,gain_clamped,gain_delta,gain_unit,accent_req,accent_eff,accent_req_oob,accent_eff_oob,accent_clamped,accent_delta,accent_pct_req,accent_pct_eff,integrated_lufs,lra_lu,onset_density_eps,peak_lufs,audio_path,session_report_path
batch_exploratory_0014,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,135,130,1.0,0.0,1,-5,-5.201196809120519,-5.201196809120519,0.0,0.0,0,0.0,linear,0.5779381908414029,0.5,1.0,0.0,1,-0.07793819084140285,57.79381908414029,50.0,-13.469005576301734,2.7024767272454078,1.3166666666666667,-11.951907512426633,runs\constrained_default\batch_exploratory_0014\0\audio.wav,runs\constrained_default\batch_exploratory_0014\0\sessionReport.json
batch_exploratory_0015,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,133,130,1.0,0.0,1,-3,-5.633445857819503,-5.633445857819503,0.0,0.0,0,0.0,linear,0.642667844522954,0.5,1.0,0.0,1,-0.142667844522954,64.2667844522954,50.0,-13.901254624858655,2.7024767251699338,1.3166666666666667,-12.384156564477053,runs\constrained_default\batch_exploratory_0015\0\audio.wav,runs\constrained_default\batch_exploratory_0015\0\sessionReport.json
batch_exploratory_0016,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-4.695411725147169,-4.695411725147169,0.0,0.0,0,0.0,linear,0.5935143288084536,0.5,1.0,0.0,1,-0.09351432880845356,59.35143288084536,50.0,-12.96322049296965,2.702476718938266,1.3166666666666667,-11.446122432911864,runs\constrained_default\batch_exploratory_0016\0\audio.wav,runs\constrained_default\batch_exploratory_0016\0\sessionReport.json
batch_exploratory_0017,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,126,126,0.0,0.0,0,0,-5.656061350961188,-5.656061350961188,0.0,0.0,0,0.0,linear,0.5824568784181791,0.5,1.0,0.0,1,-0.08245687841817906,58.245687841817904,50.0,-13.877379859951246,2.795856789366953,1.3,-12.403460355744368,runs\constrained_default\batch_exploratory_0017\0\audio.wav,runs\constrained_default\batch_exploratory_0017\0\sessionReport.json
batch_exploratory_0018,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-3.392614980987221,-3.392614980987221,0.0,0.0,0,0.0,linear,0.5555208007507471,0.5,1.0,0.0,1,-0.05552080075074706,55.552080075074706,50.0,-11.660423748604751,2.7024767320446994,1.3166666666666667,-10.143325676523776,runs\constrained_default\batch_exploratory_0018\0\audio.wav,runs\constrained_default\batch_exploratory_0018\0\sessionReport.json
batch_exploratory_0019,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-2.778060866018011,-2.778060866018011,0.0,0.0,0,0.0,linear,0.6319562990782115,0.5,1.0,0.0,1,-0.1319562990782115,63.19562990782115,50.0,-11.04586963257374,2.7024767268246936,1.3166666666666667,-9.528771565304467,runs\constrained_default\batch_exploratory_0019\0\audio.wav,runs\constrained_default\batch_exploratory_0019\0\sessionReport.json
batch_exploratory_0020,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,106,120,1.0,0.0,1,14,-6.692648554583719,-6.692648554583719,0.0,0.0,0,0.0,linear,0.6831735889244015,0.5,1.0,0.0,1,-0.1831735889244015,68.31735889244015,50.0,-18.200455124004865,2.0594719655368117,1.2166666666666666,-16.823355673224924,runs\constrained_default\batch_exploratory_0020\0\audio.wav,runs\constrained_default\batch_exploratory_0020\0\sessionReport.json
batch_exploratory_0021,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-3.905581296294483,-3.905581296294483,0.0,0.0,0,0.0,linear,0.5793400286943886,0.5,1.0,0.0,1,-0.07934002869438861,57.934002869438864,50.0,-12.173390063870132,2.7024767306331263,1.3166666666666667,-10.656291992684945,runs\constrained_default\batch_exploratory_0021\0\audio.wav,runs\constrained_default\batch_exploratory_0021\0\sessionReport.json
batch_exploratory_0022,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,135,130,1.0,0.0,1,-5,-5.284609792503111,-5.284609792503111,0.0,0.0,0,0.0,linear,0.5357868593361546,0.5,1.0,0.0,1,-0.03578685933615455,53.57868593361545,50.0,-13.552418559464485,2.702476728332151,1.3166666666666667,-12.03532049198272,runs\constrained_default\batch_exploratory_0022\0\audio.wav,runs\constrained_default\batch_exploratory_0022\0\sessionReport.json
batch_exploratory_0023,0,constrained_default,exploratory,d75b597db91d6240faf23831e4892104250a39dd1b62ac68b37863230c255db2,140,130,1.0,0.0,1,-10,-4.828936477359961,-4.828936477359961,0.0,0.0,0,0.0,linear,0.6441133365901569,0.5,1.0,0.0,1,-0.1441133365901569,64.4113336590157,50.0,-13.09674524459818,2.7024767253641055,1.3166666666666667,-11.579647184984552,runs\constrained_default\batch_exploratory_0023\0\audio.wav,runs\constrained_default\batch_exploratory_0023\0\sessionReport.json
